FACTOR,FACTOR,FACTOR,FACTOR,FACTOR,FACTOR,FACTOR,FACTOR,FACTOR,CLASS
ADT1_YEAST,0.58,0.61,0.47,0.13,0.5,0,0.48,0.22,0
ADT2_YEAST,0.43,0.67,0.48,0.27,0.5,0,0.53,0.22,0
ADT3_YEAST,0.64,0.62,0.49,0.15,0.5,0,0.53,0.22,0
AAR2_YEAST,0.58,0.44,0.57,0.13,0.5,0,0.54,0.22,1
AATM_YEAST,0.42,0.44,0.48,0.54,0.5,0,0.48,0.22,0
AATC_YEAST,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,0
ABC1_YEAST,0.5,0.54,0.48,0.65,0.5,0,0.53,0.22,0
BAF1_YEAST,0.48,0.45,0.59,0.2,0.5,0,0.58,0.34,1
ABF2_YEAST,0.55,0.5,0.66,0.36,0.5,0,0.49,0.22,0
ABP1_YEAST,0.4,0.39,0.6,0.15,0.5,0,0.58,0.3,0
ACE1_YEAST,0.43,0.39,0.54,0.21,0.5,0,0.53,0.27,1
ACE2_YEAST,0.42,0.37,0.59,0.2,0.5,0,0.52,0.29,1
ACH1_YEAST,0.4,0.42,0.57,0.35,0.5,0,0.53,0.25,0
ACON_YEAST,0.6,0.4,0.52,0.46,0.5,0,0.53,0.22,0
ACR1_YEAST,0.66,0.55,0.45,0.19,0.5,0,0.46,0.22,0
ACT_YEAST,0.46,0.44,0.52,0.11,0.5,0,0.5,0.22,0
ACT2_YEAST,0.47,0.39,0.5,0.11,0.5,0,0.49,0.4,0
ACT3_YEAST,0.58,0.47,0.54,0.11,0.5,0,0.51,0.26,1
ACT5_YEAST,0.5,0.34,0.55,0.21,0.5,0,0.49,0.22,1
ADA2_YEAST,0.61,0.6,0.55,0.21,0.5,0,0.5,0.25,1
C1TC_YEAST,0.45,0.4,0.5,0.16,0.5,0,0.5,0.22,0
PUR4_YEAST,0.43,0.44,0.48,0.22,0.5,0,0.51,0.22,0
PUR3_YEAST,0.73,0.63,0.42,0.3,0.5,0,0.49,0.22,0
ADH1_YEAST,0.43,0.53,0.52,0.13,0.5,0,0.55,0.22,0
ADH2_YEAST,0.46,0.53,0.52,0.15,0.5,0,0.58,0.22,0
ADH3_YEAST,0.51,0.51,0.52,0.51,0.5,0,0.54,0.22,0
ADH4_YEAST,0.59,0.45,0.53,0.19,0.5,0,0.59,0.27,0
KAD1_YEAST,0.57,0.47,0.6,0.18,0.5,0,0.51,0.22,0
KAD2_YEAST,0.63,0.67,0.57,0.24,0.5,0,0.49,0.22,0
ADP1_YEAST,0.8,0.88,0.36,0.39,0.5,0,0.56,0.33,0
ADR1_YEAST,0.53,0.54,0.43,0.1,0.5,0,0.57,0.32,1
AFG3_YEAST,0.51,0.51,0.43,0.87,0.5,0,0.52,0.22,0
AFR1_YEAST,0.38,0.61,0.61,0.12,0.5,0,0.53,0.47,0
RCS1_YEAST,0.33,0.55,0.51,0.43,0.5,0,0.51,0.22,1
AGA1_YEAST,0.78,0.74,0.42,0.26,0.5,0,0.43,0.22,0
AGA2_YEAST,0.74,0.67,0.47,0.34,0.5,0,0.42,0.22,0
YMX1_YEAST,0.72,0.61,0.45,0.3,0.5,0,0.54,0.25,0
SYAC_YEAST,0.4,0.45,0.57,0.18,0.5,0,0.56,0.26,0
DHA1_YEAST,0.59,0.53,0.43,0.44,0.5,0,0.5,0.22,0
DHA2_YEAST,0.57,0.53,0.53,0.34,0.5,0,0.53,0.22,0
ALG1_YEAST,0.86,0.68,0.39,0.24,0.5,0,0.54,0.22,0
ALG5_YEAST,0.86,0.74,0.51,0.4,0.5,0,0.55,0.22,0
GPT_YEAST,0.79,0.57,0.41,0.28,0.5,0,0.59,0.22,0
ALG8_YEAST,0.41,0.54,0.39,0.2,0.5,0,0.51,0.22,0
MAN1_YEAST,0.37,0.36,0.56,0.18,0.5,0,0.48,0.26,0
ANC1_YEAST,0.53,0.31,0.58,0.39,0.5,0,0.47,0.37,1
ANP1_YEAST,0.74,0.75,0.58,0.47,0.5,0,0.4,0.35,0
APE2_YEAST,0.49,0.39,0.52,0.29,0.5,0,0.48,0.22,0
APE3_YEAST,0.74,0.57,0.51,0.28,0.5,0,0.58,0.22,0
ALP1_YEAST,0.42,0.24,0.34,0.16,0.5,0,0.5,0.22,0
ADB2_YEAST,0.48,0.39,0.51,0.21,0.5,0,0.52,0.28,0
YHB9_YEAST,0.41,0.53,0.45,0.14,0.5,0,0.52,0.66,0
APN1_YEAST,0.45,0.46,0.55,0.43,0.5,0,0.55,0.38,1
ARD1_YEAST,0.56,0.48,0.58,0.27,0.5,0,0.51,0.22,0
ARF1_YEAST,0.64,0.59,0.56,0.23,0.5,0,0.46,0.22,0
ARF2_YEAST,0.64,0.56,0.56,0.22,0.5,0,0.45,0.22,0
ASSY_YEAST,0.66,0.62,0.49,0.1,0.5,0,0.49,0.22,0
OTC_YEAST,0.53,0.44,0.51,0.33,0.5,0,0.55,0.22,0
ARLY_YEAST,0.38,0.49,0.53,0.19,0.5,0,0.5,0.22,0
AR56_YEAST,0.45,0.58,0.48,0.67,0.5,0,0.52,0.22,0
ARGD_YEAST,0.43,0.35,0.52,0.52,0.5,0,0.54,0.22,0
ARG1_YEAST,0.37,0.32,0.47,0.18,0.5,0,0.45,0.25,1
ARG2_YEAST,0.48,0.43,0.51,0.32,0.5,0,0.52,0.43,1
ARG3_YEAST,0.41,0.46,0.59,0.19,0.5,0,0.58,0.27,1
ARO1_YEAST,0.54,0.48,0.44,0.08,0.5,0,0.52,0.27,0
AROC_YEAST,0.6,0.47,0.45,0.22,0.5,0,0.51,0.29,0
AROF_YEAST,0.34,0.46,0.57,0.09,0.5,0,0.55,0.22,0
AROG_YEAST,0.48,0.54,0.55,0.12,0.5,0,0.51,0.22,0
CHMU_YEAST,0.47,0.39,0.59,0.15,0.5,0,0.57,0.22,0
ASG2_YEAST,0.81,0.85,0.47,0.37,0.5,0,0.56,0.22,0
AST1_YEAST,0.48,0.42,0.52,0.24,0.5,0,0.56,0.22,0
ATE1_YEAST,0.58,0.51,0.49,0.27,0.5,0,0.57,0.29,0
ATM1_YEAST,0.6,0.5,0.44,0.61,0.5,0,0.47,0.22,0
ATPA_YEAST,0.45,0.55,0.54,0.66,0.5,0,0.47,0.22,0
ATPY_YEAST,0.46,0.49,0.58,0.23,0.5,0,0.44,0.22,0
ATPS_YEAST,0.49,0.42,0.56,0.55,0.5,0,0.42,0.25,0
ATPT_YEAST,0.63,0.53,0.54,0.4,0.5,0,0.5,0.22,0
ATPU_YEAST,0.5,0.54,0.53,0.54,0.5,0,0.51,0.27,0
ATPE_YEAST,0.63,0.57,0.59,0.4,0.5,0,0.38,0.22,0
ATPB_YEAST,0.43,0.57,0.51,0.49,0.5,0,0.48,0.22,0
ATPG_YEAST,0.48,0.45,0.55,0.5,0.5,0,0.53,0.22,0
ATPD_YEAST,0.5,0.58,0.46,0.46,0.5,0,0.46,0.22,0
ATPO_YEAST,0.51,0.54,0.6,0.57,0.5,0,0.58,0.22,0
ATP7_YEAST,0.54,0.52,0.63,0.37,0.5,0,0.46,0.22,0
ATP8_YEAST,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,0
ATR1_YEAST,0.28,0.58,0.21,0.13,0.5,0,0.51,0.22,0
YBR8_YEAST,0.39,0.44,0.35,0.16,0.5,0,0.55,0.22,0
BAR1_YEAST,0.8,0.63,0.45,0.29,0.5,0,0.51,0.22,0
BAS1_YEAST,0.5,0.52,0.59,0.3,0.5,0,0.51,0.35,1
BCK1_YEAST,0.42,0.47,0.52,0.41,0.5,0,0.53,0.32,0
BCK2_YEAST,0.36,0.46,0.62,0.46,0.5,0,0.51,0.33,0
BCS1_YEAST,0.46,0.38,0.47,0.22,0.5,0,0.52,0.27,0
KAPR_YEAST,0.4,0.45,0.56,0.2,0.5,0,0.45,0.22,0
BDF1_YEAST,0.33,0.43,0.64,0.16,0.5,0,0.52,0.52,1
BEM1_YEAST,0.49,0.61,0.49,0.25,0.5,0,0.5,0.28,0
BET1_YEAST,0.38,0.5,0.37,0.26,0.5,0,0.43,0.22,0
BGL2_YEAST,0.69,0.7,0.52,0.36,0.5,0,0.46,0.22,0
CYBM_YEAST,0.61,0.72,0.39,0.33,0.5,0,0.58,0.22,0
YMC4_YEAST,0.78,0.75,0.4,0.28,0.5,0,0.53,0.22,0
BIK1_YEAST,0.64,0.57,0.57,0.27,0.5,0,0.37,0.22,0
BOS1_YEAST,0.36,0.58,0.35,0.24,0.5,0,0.44,0.22,0
BSD2_YEAST,0.36,0.43,0.39,0.12,0.5,0,0.49,0.22,0
BUD5_YEAST,0.47,0.52,0.5,0.4,0.5,0,0.41,0.22,0
CAD1_YEAST,0.48,0.23,0.57,0.27,0.5,0,0.48,0.47,1
CAP2_YEAST,0.47,0.39,0.55,0.24,0.5,0,0.47,0.22,0
CAN1_YEAST,0.44,0.59,0.36,0.16,0.5,0,0.52,0.22,0
CAPA_YEAST,0.42,0.35,0.54,0.18,0.5,0,0.56,0.22,0
CAPB_YEAST,0.3,0.56,0.55,0.18,0.5,0,0.5,0.22,0
ARGI_YEAST,0.65,0.65,0.52,0.16,0.5,0,0.6,0.22,0
OAT_YEAST,0.27,0.6,0.48,0.23,0.5,0,0.55,0.22,0
CACP_YEAST,0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,0
CAT8_YEAST,0.44,0.52,0.41,0.23,0.5,0,0.51,0.22,1
CBF1_YEAST,0.3,0.32,0.57,0.19,0.5,0,0.48,0.55,1
CB32_YEAST,0.4,0.44,0.49,0.47,0.5,0,0.49,0.27,1
CBF5_YEAST,0.45,0.51,0.5,0.16,0.5,0,0.52,1,1
CBP1_YEAST,0.45,0.45,0.5,0.6,0.5,0,0.49,0.22,0
CBP2_YEAST,0.59,0.67,0.56,0.41,0.5,0,0.47,0.22,0
CBP3_YEAST,0.47,0.47,0.57,0.48,0.5,0,0.48,0.22,0
CBP4_YEAST,0.35,0.52,0.48,0.22,0.5,0,0.26,0.22,0
CBP6_YEAST,0.47,0.41,0.66,0.26,0.5,0,0.53,0.22,0
NC5R_YEAST,0.64,0.62,0.29,0.28,0.5,0,0.51,0.22,0
CBS1_YEAST,0.55,0.53,0.55,0.46,0.5,0,0.52,0.22,0
CBS2_YEAST,0.67,0.62,0.54,0.43,0.5,0,0.53,0.22,0
TNT_YEAST,0.59,0.6,0.49,0.43,0.5,0,0.53,0.31,0
ATU1_YEAST,0.54,0.55,0.34,0.31,0.5,0,0.54,0.22,0
CCE1_YEAST,0.58,0.62,0.54,0.17,0.5,0,0.48,0.22,0
CCL1_YEAST,0.4,0.38,0.53,0.16,0.5,0,0.52,0.27,1
CCPR_YEAST,0.46,0.71,0.48,0.53,0.5,0,0.53,0.22,0
CCR4_YEAST,0.53,0.51,0.55,0.05,0.5,0,0.45,0.25,1
CTPT_YEAST,0.41,0.4,0.59,0.47,0.5,0,0.48,0.43,0
CC10_YEAST,0.5,0.64,0.57,0.15,0.5,0,0.47,0.22,0
CC11_YEAST,0.4,0.62,0.52,0.31,0.5,0,0.49,0.31,0
CC12_YEAST,0.6,0.5,0.57,0.25,0.5,0,0.41,0.26,0
CC16_YEAST,0.62,0.51,0.52,0.42,0.5,0,0.54,0.27,1
CC23_YEAST,0.35,0.58,0.54,0.16,0.5,0,0.51,0.22,1
CC24_YEAST,0.34,0.54,0.5,0.21,0.5,0,0.54,0.31,0
CC25_YEAST,0.39,0.58,0.5,0.26,0.5,0,0.54,0.59,0
CC27_YEAST,0.48,0.54,0.5,0.17,0.5,0,0.53,0.22,1
CDC3_YEAST,0.29,0.32,0.58,0.15,0.5,0,0.5,0.3,0
CC31_YEAST,0.47,0.32,0.64,0.3,0.5,0,0.63,0.22,1
IF4E_YEAST,0.39,0.47,0.56,0.16,0.5,0,0.47,0.22,0
UBC3_YEAST,0.58,0.48,0.51,0.47,0.5,0,0.55,0.22,1
NOT2_YEAST,0.64,0.6,0.57,0.19,0.5,0,0.43,0.22,1
NOT1_YEAST,0.37,0.46,0.4,0.27,0.5,0,0.45,0.22,1
CC4_YEAST,0.43,0.57,0.53,0.16,0.5,0,0.54,0.22,0
CC40_YEAST,0.28,0.37,0.61,0.09,0.5,0,0.52,0.55,1
CC42_YEAST,0.59,0.48,0.5,0.14,0.5,0,0.45,0.25,0
CAL1_YEAST,0.39,0.55,0.48,0.31,0.5,0,0.54,0.29,0
RFC1_YEAST,0.26,0.36,0.47,0.34,0.5,0,0.53,0.72,1
CC46_YEAST,0.51,0.34,0.5,0.19,0.5,0,0.5,0.22,1
YB52_YEAST,0.58,0.5,0.5,0.12,0.5,0,0.48,0.25,1
CC48_YEAST,0.44,0.39,0.53,0.14,0.5,0,0.54,0.44,0
CC6_YEAST,0.41,0.39,0.44,0.34,0.5,0,0.48,0.4,1
SYLC_YEAST,0.45,0.43,0.51,0.24,0.5,0,0.54,0.33,0
CC68_YEAST,0.36,0.68,0.46,0.16,0.5,0,0.53,0.28,1
CC7_YEAST,0.42,0.31,0.5,0.15,0.5,0,0.53,0.22,1
KTHY_YEAST,0.42,0.43,0.56,0.1,0.5,0,0.49,0.22,0
DNLI_YEAST,0.67,0.71,0.52,0.65,0.5,0,0.53,0.36,1
MCE1_YEAST,0.49,0.47,0.53,0.16,0.5,0,0.48,0.27,1
CEM1_YEAST,0.71,0.59,0.48,0.43,0.5,0,0.59,0.22,0
RLUB_YEAST,0.4,0.42,0.71,0.21,0.5,0,0.54,0.32,0
RLUB_YEAST,0.4,0.42,0.71,0.21,0.5,0,0.54,0.32,0
CLH_YEAST,0.54,0.49,0.49,0.2,0.5,0,0.52,0.22,0
CHL1_YEAST,0.42,0.51,0.5,0.12,0.5,0,0.52,0.46,1
CHL4_YEAST,0.57,0.51,0.53,0.18,0.5,0,0.56,0.25,1
PSS_YEAST,0.35,0.45,0.43,0.11,0.5,0,0.56,0.22,0
PEM1_YEAST,0.42,0.42,0.42,0.2,0.5,0,0.49,0.22,0
CHS1_YEAST,0.26,0.5,0.33,0.28,0.5,0,0.51,0.22,0
CHS2_YEAST,0.39,0.42,0.38,0.4,0.5,0,0.49,0.47,0
CHS3_YEAST,0.26,0.44,0.3,0.11,0.5,0,0.51,0.47,0
CIK1_YEAST,0.31,0.44,0.53,0.23,0.5,0,0.51,0.32,1
CIN1_YEAST,0.48,0.61,0.44,0.2,0.5,0,0.47,0.22,0
CIN4_YEAST,0.66,0.45,0.5,0.23,0.5,0,0.49,0.22,0
CIN8_YEAST,0.21,0.41,0.55,0.11,0.5,0,0.5,0.27,0
CISY_YEAST,0.38,0.68,0.44,0.45,0.5,0,0.53,0.22,0
CISZ_YEAST,0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,0
KC21_YEAST,0.31,0.31,0.56,0.33,0.5,0,0.52,0.33,1
KC22_YEAST,0.49,0.31,0.49,0.35,0.5,0,0.51,0.29,1
KC2C_YEAST,0.38,0.37,0.56,0.21,0.5,0,0.49,0.22,1
KICH_YEAST,0.39,0.4,0.53,0.67,0.5,0,0.47,0.22,0
CLC1_YEAST,0.24,0.34,0.69,0.18,0.5,0,0.52,0.22,0
CG11_YEAST,0.49,0.43,0.51,0.13,0.5,0,0.47,0.22,0
CG12_YEAST,0.54,0.38,0.52,0.18,0.5,0,0.48,0.22,0
CG13_YEAST,0.43,0.57,0.53,0.53,0.5,0,0.53,0.25,0
CALM_YEAST,0.48,0.64,0.61,0.23,0.5,0,0.6,0.22,0
KCC1_YEAST,0.31,0.55,0.52,0.17,0.5,0,0.52,0.22,0
KCC2_YEAST,0.32,0.57,0.5,0.15,0.5,0,0.53,0.22,0
P2B1_YEAST,0.32,0.42,0.52,0.24,0.5,0,0.6,0.22,0
P2B2_YEAST,0.59,0.5,0.52,0.28,0.5,0,0.55,0.25,0
CALB_YEAST,0.37,0.42,0.51,0.11,0.5,0,0.57,0.22,0
CALX_YEAST,0.75,0.7,0.38,0.27,0.5,0,0.49,0.22,0
CYB_YEAST,0.61,0.72,0.31,0.33,0.5,0,0.56,0.22,0
COFI_YEAST,0.44,0.42,0.6,0.21,0.5,0,0.57,0.22,0
COQ1_YEAST,0.52,0.51,0.51,0.54,0.5,0,0.55,0.27,0
COQ2_YEAST,0.63,0.56,0.45,0.58,0.5,0,0.51,0.22,0
COQ3_YEAST,0.52,0.56,0.54,0.53,0.5,0,0.45,0.22,0
UCR1_YEAST,0.58,0.58,0.58,0.49,0.5,0,0.49,0.26,0
COT1_YEAST,0.72,0.62,0.34,0.29,0.5,0,0.56,0.28,0
COX1_YEAST,0.72,0.61,0.37,0.3,0.5,0,0.57,0.22,0
COXX_YEAST,0.46,0.43,0.38,0.33,0.5,0,0.48,0.28,0
COXZ_YEAST,0.57,0.57,0.44,0.37,0.5,0,0.52,0.25,0
COXG_YEAST,0.42,0.31,0.62,0.12,0.5,0,0.4,0.22,0
COXE_YEAST,0.49,0.46,0.45,0.45,0.5,0,0.52,0.22,0
YEX1_YEAST,0.42,0.58,0.41,0.65,0.5,0,0.46,0.26,0
COX2_YEAST,0.59,0.61,0.34,0.22,0.5,0,0.51,0.22,0
COX3_YEAST,0.52,0.77,0.38,0.34,0.5,0,0.51,0.22,0
COX4_YEAST,0.5,0.52,0.6,0.51,0.5,0,0.48,0.22,0
COXA_YEAST,0.49,0.6,0.43,0.56,0.5,0,0.36,0.22,0
COXB_YEAST,0.5,0.41,0.44,0.5,0.5,0,0.42,0.22,0
COX6_YEAST,0.5,0.4,0.56,0.7,0.5,0,0.5,0.22,0
COX7_YEAST,0.37,0.58,0.44,0.51,0.5,0,0.44,0.22,0
COX8_YEAST,0.55,0.45,0.45,0.54,0.5,0,0.5,0.22,0
COX9_YEAST,0.67,0.68,0.46,0.29,0.5,0,0.46,0.22,0
CARA_YEAST,0.53,0.51,0.46,0.28,0.5,0,0.48,0.22,0
CARB_YEAST,0.35,0.66,0.49,0.21,0.5,0,0.54,0.25,0
CYPH_YEAST,0.52,0.4,0.6,0.12,0.5,0,0.55,0.22,0
CYPB_YEAST,0.77,0.79,0.58,0.23,0.5,0,0.48,0.22,0
CYPC_YEAST,0.47,0.46,0.59,0.49,0.5,0,0.56,0.22,0
CYPR_YEAST,0.73,0.83,0.43,0.3,0.5,0,0.55,0.22,0
CYPD_YEAST,0.78,0.74,0.58,0.25,1,0,0.53,0.22,0
CBPS_YEAST,0.7,0.65,0.54,0.28,0.5,0,0.6,0.4,0
CPT1_YEAST,0.47,0.54,0.37,0.14,0.5,0,0.5,0.22,0
CRM1_YEAST,0.56,0.52,0.48,0.17,0.5,0,0.46,0.22,1
R141_YEAST,0.57,0.41,0.59,0.24,0.5,0,0.4,0.22,0
R142_YEAST,0.56,0.41,0.58,0.21,0.5,0,0.42,0.22,0
CSE1_YEAST,0.58,0.56,0.45,0.12,0.5,0,0.51,0.22,1
CSE2_YEAST,0.53,0.38,0.66,0.25,0.5,0,0.43,0.22,1
YKE9_YEAST,0.34,0.36,0.54,0.11,0.5,0,0.36,0.21,1
CSG2_YEAST,0.69,0.61,0.38,0.27,0.5,0,0.52,0.22,0
CATA_YEAST,0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22,0
CB33_YEAST,0.41,0.45,0.53,0.17,0.5,0,0.51,0.25,1
CTK1_YEAST,0.31,0.46,0.54,0.52,0.5,0,0.5,0.34,1
CTR1_YEAST,0.36,0.37,0.33,0.14,0.5,0,0.57,0.31,0
CHI1_YEAST,0.82,0.78,0.49,0.23,0.5,0,0.46,0.22,0
CHI2_YEAST,0.82,0.75,0.54,0.23,0.5,0,0.46,0.22,0
CATT_YEAST,0.41,0.51,0.58,0.15,0.5,0,0.45,0.27,0
MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,0
MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,0
CYB2_YEAST,0.53,0.44,0.51,0.33,0.5,0,0.52,0.22,0
CYC1_YEAST,0.46,0.54,0.71,0.15,0.5,0,0.59,0.22,0
CYC2_YEAST,0.4,0.56,0.48,0.14,0.5,0,0.47,0.22,0
CCHL_YEAST,0.53,0.53,0.6,0.13,0.5,0,0.49,0.22,0
CYC7_YEAST,0.42,0.57,0.72,0.22,0.5,0,0.57,0.22,0
RL2A_YEAST,0.45,0.27,0.57,0.36,0.5,0,0.52,0.18,0
CYAA_YEAST,0.2,0.26,0.52,0.14,0.5,0,0.53,0.44,0
CYS3_YEAST,0.51,0.53,0.55,0.14,0.5,0,0.51,0.22,0
CY1_YEAST,0.44,0.68,0.45,0.51,0.5,0,0.52,0.41,0
02_YEAST,0.27,0.39,0.66,0.11,0.5,0,0.44,0.22,0
DAL4_YEAST,0.55,0.42,0.34,0.3,0.5,0,0.52,0.22,0
DAL5_YEAST,0.34,0.42,0.3,0.23,0.5,0,0.53,0.22,0
MASZ_YEAST,0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,0
DA80_YEAST,0.59,0.58,0.56,0.21,0.5,0,0.54,0.33,1
DA81_YEAST,0.39,0.28,0.46,0.12,0.5,0,0.41,0.22,1
DA82_YEAST,0.56,0.43,0.54,0.16,0.5,0,0.5,0.22,1
DAP2_YEAST,0.36,0.68,0.38,0.08,0.5,0,0.53,0.25,0
DATI_YEAST,0.27,0.36,0.6,0.33,0.5,0,0.37,0.31,1
DBF4_YEAST,0.35,0.4,0.59,0.22,0.5,0,0.47,0.37,1
DBP1_YEAST,0.42,0.32,0.5,0.21,0.5,0,0.51,0.22,1
DBP2_YEAST,0.23,0.2,0.53,0.2,0.5,0,0.44,0.22,1
DBR1_YEAST,0.55,0.54,0.56,0.22,0.5,0,0.5,0.37,1
DED1_YEAST,0.36,0.24,0.49,0.16,0.5,0,0.51,0.22,1
DEP1_YEAST,0.38,0.48,0.59,0.22,0.5,0,0.46,0.22,0
DYR_YEAST,0.8,0.46,0.5,0.15,0.5,0,0.53,0.22,0
DYHC_YEAST,0.6,0.56,0.47,0.2,0.5,0,0.5,0.38,1
DHH1_YEAST,0.41,0.24,0.54,0.26,0.5,0,0.41,0.22,1
DLD1_YEAST,0.47,0.65,0.54,0.62,0.5,0,0.53,0.36,0
DMC1_YEAST,0.43,0.39,0.54,0.14,0.5,0,0.47,0.22,1
DPB2_YEAST,0.5,0.51,0.52,0.09,0.5,0,0.48,0.25,1
DPB3_YEAST,0.53,0.61,0.52,0.21,0.5,0,0.55,0.3,1
DPM1_YEAST,0.54,0.42,0.41,0.16,0.5,0,0.52,0.22,0
SYDC_YEAST,0.46,0.35,0.53,0.16,0.5,0,0.51,0.29,0
DRS1_YEAST,0.46,0.43,0.49,0.79,0.5,0,0.49,0.63,1
ATC4_YEAST,0.51,0.55,0.35,0.16,0.5,0,0.51,0.47,0
DSS4_YEAST,0.56,0.52,0.55,0.19,0.5,0,0.54,0.22,0
TFS2_YEAST,0.61,0.3,0.59,0.12,0.5,0,0.49,0.27,1
DUN1_YEAST,0.37,0.53,0.46,0.23,0.5,0,0.47,0.22,1
DUR3_YEAST,0.83,0.58,0.33,0.04,0.5,0,0.53,0.22,0
EF1B_YEAST,0.39,0.45,0.53,0.18,0.5,0,0.54,0.22,0
EF2_YEAST,0.52,0.54,0.5,0.21,0.5,0,0.48,0.3,0
EGD1_YEAST,0.35,0.39,0.57,0.11,0.5,0,0.48,0.22,1
ATN2_YEAST,0.36,0.49,0.3,0.22,0.5,0,0.52,0.31,0
END2_YEAST,0.78,0.7,0.32,0.23,0.5,0,0.53,0.22,0
END3_YEAST,0.55,0.46,0.53,0.11,0.5,0,0.52,0.48,0
ENO1_YEAST,0.45,0.56,0.54,0.32,0.5,0,0.57,0.22,0
ENO2_YEAST,0.45,0.56,0.53,0.32,0.5,0,0.57,0.22,0
EPT1_YEAST,0.29,0.43,0.4,0.15,0.5,0,0.53,0.22,0
ERD1_YEAST,0.52,0.75,0.37,0.14,0.5,0,0.46,0.22,0
ERD2_YEAST,0.71,0.56,0.39,0.27,0.5,0,0.52,0.22,0
ERG1_YEAST,0.58,0.6,0.43,0.12,0.5,0,0.55,0.22,0
THIL_YEAST,0.54,0.65,0.49,0.34,0.5,0,0.52,0.22,0
CP51_YEAST,0.57,0.59,0.44,0.16,0.5,0,0.52,0.22,0
KIME_YEAST,0.59,0.58,0.46,0.19,0.5,0,0.56,0.27,0
ERG2_YEAST,0.92,0.61,0.4,0.22,0.5,0,0.54,0.22,0
FPPS_YEAST,0.55,0.56,0.45,0.14,0.5,0,0.54,0.22,0
ER24_YEAST,0.63,0.61,0.41,0.22,0.5,0,0.51,0.22,0
